match_id,season,competition,round,date,home_team_id,away_team_id,home_goals,away_goals,arena,result
113,2003,Brasileirão Série A,10,2003-05-25,BRA003,BRA021,4,1, Arena da Baixada,H
114,2003,Brasileirão Série A,10,2003-05-25,BRA035,BRA016,1,3, Mangueirão,A
115,2003,Brasileirão Série A,10,2003-05-25,BRA024,BRA017,0,2, Serra Dourada,A
116,2003,Brasileirão Série A,10,2003-05-25,BRA025,BRA042,1,2, Olímpico,A
117,2003,Brasileirão Série A,10,2003-05-25,BRA027,BRA023,2,1, Brinco de Ouro,H
118,2003,Brasileirão Série A,10,2003-05-25,BRA020,BRA007,1,0, Orlando Scarpelli,H
119,2003,Brasileirão Série A,10,2003-05-25,BRA045,BRA018,2,1, Barradão,H
120,2003,Brasileirão Série A,10,2003-05-25,BRA040,BRA028,2,1, Vila Belmiro,H
121,2003,Brasileirão Série A,11,2003-05-31,BRA022,BRA003,2,1,  Édson Passos,H
122,2003,Brasileirão Série A,11,2003-05-31,BRA018,BRA017,2,0, Mineirão,H
123,2003,Brasileirão Série A,11,2003-05-31,BRA016,BRA027,3,2, Couto Pereira,H
124,2003,Brasileirão Série A,11,2003-05-31,BRA036,BRA041,0,0, Moisés Lucarelli,D
125,2003,Brasileirão Série A,11,2003-05-31,BRA028,BRA035,2,1, Beira Rio,H
126,2003,Brasileirão Série A,11,2003-06-01,BRA034,BRA021,6,2, Pinheirão,H
127,2003,Brasileirão Série A,11,2003-06-01,BRA007,BRA024,2,1, Fonte Nova,H
128,2003,Brasileirão Série A,11,2003-06-01,BRA023,BRA031,3,1, Castelão,H
129,2003,Brasileirão Série A,11,2003-06-01,BRA020,BRA025,2,1, Orlando Scarpelli,H
130,2003,Brasileirão Série A,11,2003-06-01,BRA040,BRA042,3,2, Vila Belmiro,H
131,2003,Brasileirão Série A,11,2003-06-01,BRA015,BRA045,4,0, Pacaembu,H
132,2003,Brasileirão Série A,11,2003-06-01,BRA044,BRA005,2,2, São Januário,D
133,2003,Brasileirão Série A,12,2003-06-07,BRA045,BRA022,2,1, Barradão,H
134,2003,Brasileirão Série A,12,2003-06-07,BRA027,BRA040,1,2, Brinco de Ouro,A
135,2003,Brasileirão Série A,12,2003-06-07,BRA025,BRA023,3,1, Olímpico,H
136,2003,Brasileirão Série A,12,2003-06-07,BRA005,BRA020,1,1,  Independência,D
137,2003,Brasileirão Série A,12,2003-06-08,BRA035,BRA034,3,0, Mangueirão,H
138,2003,Brasileirão Série A,12,2003-06-08,BRA031,BRA044,0,0, Alfredo Jaconi,D
139,2003,Brasileirão Série A,12,2003-06-08,BRA003,BRA036,4,2, Arena da Baixada,H
140,2003,Brasileirão Série A,12,2003-06-08,BRA024,BRA016,1,2, Serra Dourada,A
141,2003,Brasileirão Série A,12,2003-06-08,BRA041,BRA015,1,0, Anacleto Campanella,H
142,2003,Brasileirão Série A,12,2003-06-08,BRA017,BRA028,1,0, Heriberto Hulse,H
143,2003,Brasileirão Série A,12,2003-06-08,BRA042,BRA007,2,2, Morumbi,D
145,2003,Brasileirão Série A,13,2003-06-14,BRA022,BRA024,2,3, Maracanã,A
146,2003,Brasileirão Série A,13,2003-06-14,BRA036,BRA027,0,2, Moisés Lucarelli,A
147,2003,Brasileirão Série A,13,2003-06-14,BRA016,BRA003,2,0, Couto Pereira,H
148,2003,Brasileirão Série A,13,2003-06-15,BRA015,BRA042,1,2, Morumbi,A
149,2003,Brasileirão Série A,13,2003-06-15,BRA023,BRA035,1,2, Presidente Vargas,A
150,2003,Brasileirão Série A,13,2003-06-15,BRA034,BRA031,1,2, Pinheirão,A
151,2003,Brasileirão Série A,13,2003-06-15,BRA025,BRA028,0,0, Olímpico,D
152,2003,Brasileirão Série A,13,2003-06-15,BRA040,BRA041,0,1, Vila Belmiro,A
153,2003,Brasileirão Série A,13,2003-06-15,BRA017,BRA020,1,0, Heriberto Hulse,H
154,2003,Brasileirão Série A,13,2003-06-15,BRA007,BRA045,2,1, Fonte Nova,H
155,2003,Brasileirão Série A,13,2003-06-15,BRA044,BRA021,1,2, Maracanã,A
156,2003,Brasileirão Série A,13,2003-06-15,BRA018,BRA005,0,0, Mineirão,D
157,2003,Brasileirão Série A,14,2003-06-19,BRA007,BRA016,2,2, Fonte Nova,D
158,2003,Brasileirão Série A,14,2003-06-21,BRA044,BRA017,2,0, São Januário,H
159,2003,Brasileirão Série A,14,2003-06-21,BRA005,BRA025,3,2, Mineirão,H
160,2003,Brasileirão Série A,14,2003-06-21,BRA028,BRA034,2,1, Beira Rio,H
161,2003,Brasileirão Série A,14,2003-06-21,BRA042,BRA024,1,0, Morumbi,H
162,2003,Brasileirão Série A,14,2003-06-22,BRA035,BRA021,2,2, Mangueirão,D
163,2003,Brasileirão Série A,14,2003-06-22,BRA036,BRA015,3,3, Moisés Lucarelli,D
164,2003,Brasileirão Série A,14,2003-06-22,BRA041,BRA045,2,1, Anacleto Campanella,H
165,2003,Brasileirão Série A,14,2003-06-22,BRA020,BRA023,2,2, Orlando Scarpelli,D
166,2003,Brasileirão Série A,14,2003-06-22,BRA031,BRA018,0,1, Alfredo Jaconi,A
167,2003,Brasileirão Série A,14,2003-06-22,BRA022,BRA027,5,2, Maracanã,H
168,2003,Brasileirão Série A,15,2003-06-28,BRA023,BRA044,0,1, Castelão,A
169,2003,Brasileirão Série A,15,2003-06-28,BRA016,BRA041,2,0, Couto Pereira,H
170,2003,Brasileirão Série A,15,2003-06-28,BRA025,BRA031,1,4, Olímpico,A
171,2003,Brasileirão Série A,15,2003-06-28,BRA040,BRA007,4,0, Vila Belmiro,H
172,2003,Brasileirão Série A,15,2003-06-28,BRA021,BRA020,0,2, Maracanã,A
173,2003,Brasileirão Série A,15,2003-06-29,BRA015,BRA022,1,0, Pacaembu,H
174,2003,Brasileirão Série A,15,2003-06-29,BRA027,BRA042,0,1, Brinco de Ouro,A
175,2003,Brasileirão Série A,15,2003-06-29,BRA017,BRA035,2,0, Heriberto Hulse,H
176,2003,Brasileirão Série A,15,2003-06-29,BRA045,BRA003,1,0, Barradão,H
177,2003,Brasileirão Série A,15,2003-06-29,BRA018,BRA028,3,2, Mineirão,H
178,2003,Brasileirão Série A,15,2003-06-29,BRA034,BRA005,1,1, Pinheirão,D
