match_id,round,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,team_id
142,12,0,0,,0,,0,0,0,0,0,BRA028
142,12,0,0,,0,,0,0,0,0,0,BRA017
143,12,0,0,,0,,0,0,0,0,0,BRA007
143,12,0,0,,0,,0,0,0,0,0,BRA042
145,13,0,0,,0,,0,0,0,0,0,BRA022
145,13,0,0,,0,,0,0,0,0,0,BRA024
146,13,0,0,,0,,0,0,0,0,0,BRA027
146,13,0,0,,0,,0,0,0,0,0,BRA036
147,13,0,0,,0,,0,0,0,0,0,BRA016
147,13,0,0,,0,,0,0,0,0,0,BRA003
148,13,0,0,,0,,0,0,0,0,0,BRA042
148,13,0,0,,0,,0,0,0,0,0,BRA015
149,13,0,0,,0,,0,0,0,0,0,BRA035
149,13,0,0,,0,,0,0,0,0,0,BRA023
150,13,0,0,,0,,0,0,0,0,0,BRA034
150,13,0,0,,0,,0,0,0,0,0,BRA031
151,13,0,0,,0,,0,0,0,0,0,BRA025
151,13,0,0,,0,,0,0,0,0,0,BRA028
152,13,0,0,,0,,0,0,0,0,0,BRA041
152,13,0,0,,0,,0,0,0,0,0,BRA040
153,13,0,0,,0,,0,0,0,0,0,BRA020
153,13,0,0,,0,,0,0,0,0,0,BRA017
154,13,0,0,,0,,0,0,0,0,0,BRA045
154,13,0,0,,0,,0,0,0,0,0,BRA007
155,13,0,0,,0,,0,0,0,0,0,BRA044
155,13,0,0,,0,,0,0,0,0,0,BRA021
156,13,0,0,,0,,0,0,0,0,0,BRA018
156,13,0,0,,0,,0,0,0,0,0,BRA005
157,14,0,0,,0,,0,0,0,0,0,BRA007
157,14,0,0,,0,,0,0,0,0,0,BRA016
158,14,0,0,,0,,0,0,0,0,0,BRA017
158,14,0,0,,0,,0,0,0,0,0,BRA044
159,14,0,0,,0,,0,0,0,0,0,BRA005
159,14,0,0,,0,,0,0,0,0,0,BRA025
160,14,0,0,,0,,0,0,0,0,0,BRA028
160,14,0,0,,0,,0,0,0,0,0,BRA034
161,14,0,0,,0,,0,0,0,0,0,BRA024
161,14,0,0,,0,,0,0,0,0,0,BRA042
162,14,0,0,,0,,0,0,0,0,0,BRA021
162,14,0,0,,0,,0,0,0,0,0,BRA035
163,14,0,0,,0,,0,0,0,0,0,BRA036
163,14,0,0,,0,,0,0,0,0,0,BRA015
164,14,0,0,,0,,0,0,0,0,0,BRA045
164,14,0,0,,0,,0,0,0,0,0,BRA041
165,14,0,0,,0,,0,0,0,0,0,BRA020
165,14,0,0,,0,,0,0,0,0,0,BRA023
166,14,0,0,,0,,0,0,0,0,0,BRA018
166,14,0,0,,0,,0,0,0,0,0,BRA031
167,14,0,0,,0,,0,0,0,0,0,BRA027
167,14,0,0,,0,,0,0,0,0,0,BRA022
168,15,0,0,,0,,0,0,0,0,0,BRA044
168,15,0,0,,0,,0,0,0,0,0,BRA023
169,15,0,0,,0,,0,0,0,0,0,BRA016
169,15,0,0,,0,,0,0,0,0,0,BRA041
170,15,0,0,,0,,0,0,0,0,0,BRA031
170,15,0,0,,0,,0,0,0,0,0,BRA025
171,15,0,0,,0,,0,0,0,0,0,BRA040
171,15,0,0,,0,,0,0,0,0,0,BRA007
172,15,0,0,,0,,0,0,0,0,0,BRA020
172,15,0,0,,0,,0,0,0,0,0,BRA021
173,15,0,0,,0,,0,0,0,0,0,BRA015
173,15,0,0,,0,,0,0,0,0,0,BRA022
174,15,0,0,,0,,0,0,0,0,0,BRA027
174,15,0,0,,0,,0,0,0,0,0,BRA042
175,15,0,0,,0,,0,0,0,0,0,BRA035
175,15,0,0,,0,,0,0,0,0,0,BRA017
176,15,0,0,,0,,0,0,0,0,0,BRA003
176,15,0,0,,0,,0,0,0,0,0,BRA045
177,15,0,0,,0,,0,0,0,0,0,BRA018
177,15,0,0,,0,,0,0,0,0,0,BRA028
178,15,0,0,,0,,0,0,0,0,0,BRA034
178,15,0,0,,0,,0,0,0,0,0,BRA005
181,16,0,0,,0,,0,0,0,0,0,BRA044
181,16,0,0,,0,,0,0,0,0,0,BRA034
182,16,0,0,,0,,0,0,0,0,0,BRA042
182,16,0,0,,0,,0,0,0,0,0,BRA041
183,16,0,0,,0,,0,0,0,0,0,BRA020
183,16,0,0,,0,,0,0,0,0,0,BRA018
184,16,0,0,,0,,0,0,0,0,0,BRA005
184,16,0,0,,0,,0,0,0,0,0,BRA035
185,16,0,0,,0,,0,0,0,0,0,BRA021
185,16,0,0,,0,,0,0,0,0,0,BRA025
186,16,0,0,,0,,0,0,0,0,0,BRA024
186,16,0,0,,0,,0,0,0,0,0,BRA027
187,16,0,0,,0,,0,0,0,0,0,BRA003
187,16,0,0,,0,,0,0,0,0,0,BRA015
188,16,0,0,,0,,0,0,0,0,0,BRA028
